frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,AU01,AU02,AU04,AU06,AU07,AU10,AU12,AU14,AU15,AU17,AU23,AU24,Pitch,Roll,Yaw,anger,disgust,fear,happiness,sadness,surprise,neutral,input
0.0,89.01026916503906,208.95758056640625,247.42698669433594,326.8878173828125,0.9995700716972351,95.96960683166981,96.55545695126057,100.55166640877724,106.80006086826324,116.3684606552124,132.18649381399155,154.04472643136978,180.66923689842224,211.06900191307068,242.49344956874847,270.84111392498016,295.21067070961,313.44916558265686,324.95401644706726,332.4431394338608,337.7974787950516,339.9602378606796,107.44822072982788,120.51855501532555,141.99357295036316,165.57049226760864,186.67198479175568,237.578404545784,259.48448848724365,283.2219069004059,305.1927162408829,318.9476628303528,211.99195164442062,211.88814944028854,211.68260544538498,211.32013255357742,183.43807721138,196.75046122074127,210.71251487731934,225.28088068962097,238.52912545204163,128.10151562094688,143.57820844650269,160.67757892608643,176.87488800287247,160.5523910522461,143.40298449993134,248.55209505558014,265.53373777866364,282.5868022441864,297.7071989774704,283.01888513565063,265.76912224292755,159.524759888649,177.8271986246109,196.47030717134476,209.25075817108154,222.821031332016,242.53645181655884,260.3703063726425,241.85074269771576,223.17888605594635,208.27882033586502,194.0876966714859,176.9291603565216,166.703559756279,195.98174941539764,209.38603496551514,223.49416482448578,253.38733458518982,222.7649028301239,208.53035950660706,195.15088772773743,342.1390618085861,374.15957283973694,406.37322986125946,438.4299935102463,467.3085517883301,491.530504822731,509.5067765712738,521.0113077163696,523.8545715808868,520.6490657329559,509.77899980545044,493.14879965782166,470.16405379772186,441.7850036621094,410.2074282169342,378.2015709877014,345.9069450497627,295.71570187807083,277.4770737886429,269.18326169252396,269.6240480542183,277.1611555814743,275.5970087647438,268.4023650288582,267.85345137119293,276.2228060364723,294.33319115638733,315.353190779686,335.7159185409546,355.02049082517624,374.69723415374756,403.00630128383636,405.26332426071167,407.0319049358368,405.2360770702362,402.8908648490906,329.90519762039185,321.5002919435501,321.262776017189,330.8303232192993,334.944231569767,335.4016966223717,330.18738543987274,320.230189204216,320.80449390411377,329.44911801815033,334.39319533109665,334.1889568567276,456.8027172088623,441.81035029888153,433.3610569238663,436.49428844451904,433.2580007314682,442.0726799964905,455.5166640281677,464.87033677101135,469.0450361967087,470.0113523006439,469.27354669570923,465.3785128593445,455.76632928848267,448.84525871276855,449.7113960981369,448.444419503212,454.80592799186707,451.4576497077942,452.44458770751953,451.48972821235657,0.055185124,0.076097,0.0071591707,0.874078,0.98518765,0.051256765,0.9552176,0.45319238,0.25407007,0.010231276,0.009565501,0.0009365536,1.9345005951247027,0.8580863533325286,0.7847894199711087,0.025823217,0.00017229501,0.0012238192,0.00083549524,0.039769966,0.007216645,0.9249585,sample_2.mp4
24.0,91.52307891845703,213.93460083007812,245.17791748046875,333.4660339355469,0.9995661377906799,99.16508768498898,98.5292202681303,101.33662291616201,106.60402257740498,115.45344707369804,130.9412224292755,152.91934502124786,180.0749173462391,211.1866160929203,243.08827412128448,271.78751689195633,296.1518610715866,314.37980246543884,325.8434389233589,333.2211573123932,338.28047317266464,340.19867819547653,115.52117821574211,128.70625738799572,149.65762984752655,172.42914047837257,192.54239720106125,241.36891943216324,262.4674690961838,285.2184687256813,306.03680980205536,318.6688084602356,216.68213140964508,216.3256637454033,215.94238144159317,215.39393854141235,188.0300648212433,200.7833271920681,214.2374539077282,228.04118198156357,240.6331608891487,135.60875882208347,150.69514539837837,167.21742075681686,182.45792996883392,166.7839818894863,150.32539349794388,251.32406097650528,267.43405026197433,283.73225194215775,298.02769017219543,283.7933189868927,267.3687632083893,162.87783619761467,180.65344539284706,199.6104636490345,212.23590371012688,225.71194809675217,244.88253396749496,261.1481712460518,244.33168214559555,225.91005992889404,210.9345057308674,196.69250336289406,179.28100180625916,169.8573527932167,198.91265001893044,212.08877485990524,225.98155391216278,254.2705414891243,225.6800166964531,211.45081502199173,198.09220996499062,341.8069322705269,374.3677117228508,407.44415867328644,440.3729756474495,470.48025953769684,496.6077058315277,516.8661396503448,530.7297830581665,535.1012902259827,531.9754945039749,520.0209655165672,501.9773505926132,477.68086063861847,448.411459505558,416.37239623069763,384.0420995950699,351.7290258705616,296.43332678079605,279.13847330212593,271.61263260245323,272.8214541375637,280.9329001903534,281.046625033021,274.3706897199154,274.38003528118134,283.172019302845,301.0164498090744,321.0026403069496,341.2117176055908,360.3232936859131,379.8611082434654,407.37776386737823,410.08182245492935,412.2681562900543,410.7502718567848,408.6139099597931,332.5772981643677,324.9102366268635,325.1154345571995,334.70529037714005,338.39387702941895,338.32248854637146,336.271142244339,327.22854244709015,328.20886808633804,337.021934568882,341.32300275564194,340.67946019768715,461.47460240125656,445.95499235391617,437.6456190943718,441.0358862876892,438.1115608215332,447.47206795215607,462.4018965959549,474.93493604660034,480.83410400152206,481.80836337804794,480.54396080970764,474.25094294548035,460.62720704078674,453.4187285900116,454.67899906635284,453.74068009853363,461.53878170251846,462.3313345313072,463.2756494283676,461.9845025539398,0.04369351,0.04130533,0.011251819,0.76755184,0.98669827,0.04183347,0.93751454,0.12516883,0.43193948,0.012212324,0.007019766,0.00088373694,0.5411022419306998,2.017724440057719,-0.726171173092241,0.19135918,0.0023408523,0.10770077,0.0018102968,0.095000304,0.08419024,0.5175984,sample_2.mp4
48.0,85.5745849609375,208.21141052246094,249.39739990234375,336.794677734375,0.9994307160377502,98.47970366477966,98.1424605846405,101.32135212421417,107.17332869768143,116.42889440059662,132.39918261766434,154.87465023994446,181.62845134735107,212.15222239494324,243.12801718711853,271.131888628006,295.5851411819458,313.74677181243896,325.207976102829,332.69389629364014,338.16891074180603,340.74955344200134,114.18355017900467,125.23161381483078,146.4173412322998,170.9022080898285,192.38219618797302,243.21234583854675,266.4502000808716,291.1912178993225,312.6036858558655,322.92757987976074,217.1592092514038,216.74559473991394,216.38787746429443,215.8426558971405,190.37744164466858,202.4358308315277,214.72562313079834,226.9670820236206,238.3165454864502,136.82302594184875,151.1336749792099,169.05917286872864,184.61696863174438,168.68724882602692,150.95376133918762,250.02912640571594,266.9054067134857,284.808669090271,298.55175375938416,284.8249590396881,266.84083700180054,164.79002594947815,181.14661037921906,200.65918028354645,212.90976762771606,225.89482426643372,244.91222262382507,259.1571843624115,243.94478559494019,225.7728910446167,211.20606422424316,197.39190995693207,179.7755992412567,171.64646744728088,199.95269536972046,212.60095596313477,225.77287316322327,252.22816228866577,225.53657054901123,211.79094672203064,198.69962990283966,338.01128363609314,371.3997254371643,404.9237976074219,437.9464576244354,467.925847530365,494.16402077674866,514.9358341693878,529.8394212722778,534.6368560791016,531.1362156867981,519.7198221683502,502.9318759441376,479.5949230194092,450.6359348297119,418.21317768096924,385.49459075927734,352.5830099582672,288.88765370845795,266.8127963542938,254.85471731424332,253.76776999235153,261.70575192570686,261.7923649251461,255.33759316802025,257.77459239959717,271.3918367624283,294.60724091529846,308.2643518447876,327.01510286331177,344.4107393026352,362.36831641197205,394.01382303237915,395.91856694221497,397.50816917419434,396.5806791782379,395.5058822631836,322.79276943206787,311.3239834308624,311.39466857910156,324.7446039915085,329.05753350257874,329.2282292842865,326.57432651519775,313.6417249441147,314.83523643016815,327.73829793930054,332.5207749605179,331.6540369987488,452.67056918144226,433.183963060379,423.1884608268738,426.247323513031,423.5490927696228,434.75852704048157,453.2867262363434,468.8321301937103,476.2112627029419,477.5384554862976,476.3749489784241,468.839640378952,451.2212464809418,439.0339324474335,439.9865458011627,439.263064622879,452.0174512863159,457.6294193267822,458.87274837493896,457.74182176589966,0.34846488,0.4104383,0.033496536,0.3727687,0.8981443,0.06568519,0.9756979,0.05930926,0.23093052,0.050684433,0.009672617,0.00075716287,3.5123782731157527,2.300775516157244,-1.563577552984749,0.04891809,0.0003315481,0.1432576,0.0018389658,0.005484904,0.7807198,0.019449105,sample_2.mp4
72.0,86.668212890625,204.1487274169922,247.31805419921875,346.95391845703125,0.9993151426315308,100.4643240571022,100.49423256516457,103.75056010484695,109.48432824015617,118.90565875172615,135.07076036930084,157.7521903514862,184.62245780229568,214.48419564962387,244.8334802389145,272.4453264474869,296.68451261520386,315.0427071452141,326.8605420589447,334.52120941877365,340.05988627672195,342.81630182266235,117.80149576067924,128.60593765974045,149.7881981432438,174.49141317605972,195.91470313072205,247.95837497711182,271.0031327009201,295.66946440935135,316.72337234020233,326.57103407382965,221.7412087917328,221.45267444849014,221.22231078147888,220.770417034626,193.6632005572319,206.27848356962204,219.40276885032654,232.40039217472076,244.43294167518616,139.77899152040482,154.93886986374855,172.73567134141922,188.78477680683136,172.59104126691818,154.8820357322693,254.54879748821259,271.38272911310196,288.88578283786774,303.20416021347046,289.1513392329216,271.40542382001877,166.86301761865616,183.90833574533463,204.83523651957512,217.89735919237137,231.28608560562134,251.1561866402626,264.3299683332443,249.31802159547806,230.49348801374435,214.97634506225586,199.9489262700081,181.31839525699615,173.0309680700302,204.0933302640915,217.72690105438232,231.50796973705292,257.99736618995667,230.06712138652802,215.358295917511,201.0722700059414,339.02043402194977,372.32471284270287,405.51415503025055,438.2550404071808,467.75568103790283,492.94664639234543,512.5070939064026,526.10302901268,530.6538665294647,527.3656123876572,516.625067949295,500.9893000125885,478.9586345553398,451.0953232049942,419.6435042619705,387.7827026247978,355.5545016527176,290.1671033501625,267.3533642888069,254.6732455790043,253.14399054646492,261.00284492224455,261.1812271773815,255.12333366274834,257.85164415091276,272.2745618969202,296.5205148756504,310.7198335528374,329.09411972761154,345.94331097602844,363.2308357954025,393.28896605968475,395.4505749344826,397.33928084373474,396.38328844308853,395.25729817152023,326.30155551433563,315.59770852327347,315.68602669239044,328.2725518643856,332.23259234428406,332.2943920493126,330.27091640233994,318.19786339998245,319.2983973622322,331.5240023434162,335.68791458010674,335.0228729248047,451.11651319265366,429.463390648365,418.97305446863174,421.632619202137,419.4124501943588,431.17275172472,451.9861701130867,470.21065706014633,479.6953982114792,481.3018010854721,479.8352662920952,470.2749882340431,449.67876279354095,433.9776369333267,434.94497668743134,434.2816433310509,450.82142889499664,462.7375485301018,464.31442350149155,462.8347356915474,0.18134372,0.123252235,0.13951181,0.22935364,0.85195065,0.07696383,0.95001924,0.10510182,0.127404,0.026370067,0.013065351,0.00047158982,4.234384467936786,2.5182554349308655,-1.8913331434047356,0.03913458,0.00021198546,0.17628323,0.0014512975,0.0022907904,0.7747761,0.005852021,sample_2.mp4
96.0,96.99678802490234,204.93605041503906,249.66461181640625,347.45025634765625,0.9993842840194702,101.59389963746071,102.38628676533699,106.35332530736923,112.21899455785751,121.51571875810623,137.48327112197876,159.95860016345978,186.8650815486908,216.91261744499207,247.53085589408875,275.35834527015686,299.68966460227966,317.84686064720154,329.22550654411316,336.3455913066864,341.62053084373474,344.4020709991455,118.06108719110489,129.18676948547363,150.4389307498932,175.19330596923828,196.8878082036972,248.4860441684723,271.6579339504242,296.31415820121765,317.570485830307,327.8396270275116,222.98383331298828,222.619553565979,222.27957463264465,221.70050358772278,195.93923604488373,208.1669977903366,221.0143051147461,234.02963495254517,246.00251531600952,141.40177285671234,156.44297516345978,174.23823392391205,190.230055809021,174.23427319526672,156.46485304832458,255.7352147102356,272.20317339897156,289.7122583389282,304.2702696323395,290.4304823875427,272.6404986381531,169.93711507320404,186.43153822422028,206.69554686546326,219.4428346157074,232.4508330821991,251.81393241882324,264.56996417045593,249.63483428955078,231.1834535598755,215.92728114128113,201.14738857746124,183.20723688602448,175.9226701259613,206.24503409862518,219.55803549289703,233.06128597259521,258.0575428009033,230.56148505210876,216.07466852664948,202.14136159420013,337.83656644821167,371.70651841163635,405.3769676685333,438.38689613342285,468.2916491031647,493.875506401062,513.6878578662872,527.4305849075317,531.6893963813782,527.6649742126465,515.3721599578857,498.16364336013794,474.93683981895447,446.29962730407715,414.5310788154602,382.5462191104889,350.17456698417664,291.96594643592834,269.17540419101715,256.66194248199463,255.20706090331078,262.9412016570568,263.0323811173439,256.63372787833214,258.68866431713104,272.3812072277069,296.21771264076233,312.1685950756073,330.96751856803894,348.292603969574,366.0364805459976,394.62983894348145,396.9152419567108,398.9972620010376,397.85079646110535,396.410861492157,327.526709318161,317.0270411968231,317.0250027179718,329.385623216629,333.6849718093872,333.8070123195648,330.73656249046326,318.78882336616516,319.5209412574768,331.2377064228058,336.08456540107727,335.6458543539047,452.06206727027893,431.1240999698639,421.0195748806,423.71757316589355,421.5479700565338,432.89174723625183,453.1592695713043,471.9441204071045,481.96074056625366,483.5655241012573,481.901731967926,471.69499683380127,450.77798652648926,435.3854684829712,436.41566920280457,435.7961504459381,452.3265151977539,465.5152587890625,467.1394078731537,465.4029815196991,0.21695445,0.097968,0.27774465,0.14690717,0.8914316,0.067952976,0.9278576,0.11046249,0.07818043,0.024468418,0.010681513,0.00063673523,2.6360298417069195,2.024777620761156,-1.471409739434534,0.055451915,0.00049763895,0.1699655,0.0015159555,0.001393658,0.76124465,0.00993067,sample_2.mp4
120.0,99.33627319335938,204.31468200683594,251.6986083984375,333.55859375,0.9994134902954102,103.74095802009106,104.20193126797676,108.0302346944809,113.95252434909344,123.4903230369091,139.4284424930811,161.6388719677925,188.56763446331024,218.83790555596352,249.52608984708786,276.6946918964386,300.27059495449066,318.22265779972076,330.00643742084503,337.8901513814926,343.8118405342102,346.8160115480423,121.08206662535667,134.14088334143162,156.3318890631199,181.2337906062603,203.0974957048893,253.20345509052277,276.2823231816292,300.6847155094147,322.00787860155106,332.84369599819183,227.6870549917221,227.0274600982666,226.41800034046173,225.65168768167496,198.41118794679642,211.1681599020958,224.61537492275238,238.21994853019714,250.64504611492157,143.39341653883457,159.25861790776253,177.0214459002018,192.95755615830421,176.65887820720673,158.82073011994362,261.1551115512848,278.203242957592,295.7003872394562,310.2521826028824,296.0907766819,278.30277276039124,172.22656017541885,189.47307392954826,210.17253679037094,223.18352556228638,236.5212957262993,255.86254972219467,268.5518681406975,253.1242791414261,234.48914313316345,218.95415911078453,203.901924431324,185.7453748881817,178.45082101225853,209.62302789092064,223.2252536714077,237.10747587680817,261.80298537015915,234.0528085231781,219.26895755529404,205.1218553185463,331.9666214585304,366.1612582206726,400.2121357321739,433.61273741722107,464.0194624066353,490.15301591157913,510.6715425848961,524.7993384599686,529.058043718338,525.0843646526337,512.0809792280197,493.9718467593193,470.28776305913925,441.65613973140717,410.1702451109886,378.4456306695938,346.3097853064537,288.36829659342766,267.3887560367584,256.8272528722882,256.634148620069,264.8601915538311,265.97944581508636,259.7878920137882,261.1857475489378,273.2354185730219,295.22712087631226,310.00182434916496,328.7336456775665,346.2322708964348,364.1588236987591,392.92720794677734,395.2181994318962,397.43227249383926,396.39462327957153,395.05661475658417,322.77556520700455,313.2687081694603,313.51092264056206,325.4875220656395,329.1203688979149,328.98987486958504,327.5310074388981,316.48887023329735,317.49412846565247,328.56241685152054,333.144779086113,332.424375474453,451.5630845427513,431.25653052330017,421.1244652271271,424.3383513689041,421.98414915800095,433.74036890268326,453.84327602386475,471.87689876556396,481.44781535863876,482.8177904486656,480.9987483024597,470.7577618956566,450.2861737012863,436.51681876182556,437.76232290267944,437.1868705153465,452.8929298520088,463.3975411057472,464.86876171827316,462.9067188501358,0.10902863,0.05930383,0.028221583,0.35690948,0.92951775,0.05242646,0.9484668,0.10112388,0.146832,0.043320205,0.012249707,0.0010152183,1.2353393702950295,2.591990544489383,-2.0094341735792205,0.02859279,0.0016628047,0.47575843,0.00069930515,0.0071156486,0.38632077,0.099850245,sample_2.mp4
